	GNGGA_Time	GNGGA_Altitude	GNGGA_Fix_Q	GNRMC_Speed	GNRMC_Course	GNRMC_Time	GNRMC_Date	GPGSA_Mode1	GPGSA_Mode2	GPGSA_Satellites_Used	GPGSA_No_Satellites	GPGSA_PDOP	GPGSA_HDOP	GPGSA_VDOP	GPGSV_Num_Sentences	GPGSV_Sentence_Number	GPGSV_Satellites_in_View
76	15:12:40+00:00	61.1 M	1	0.001	0	15:12:39+00:00	2024-06-19	A	3	04,02,17,19	4	4.2	4.09	0.97			
77	15:12:41+00:00	61.1 M	1	0	0	15:12:40+00:00	2024-06-19	A	3	04,02,17,19	4	4.2	4.09	0.97			
78	15:12:42+00:00	61.1 M	1	0.001	0	15:12:41+00:00	2024-06-19	A	3	04,02,17,19	4	4.2	4.09	0.97			
79	15:12:43+00:00	61.1 M	1	0	0	15:12:42+00:00	2024-06-19	A	3	04,02,17,19	4	4.2	4.09	0.97			
80	15:12:44+00:00	61.1 M	1	0	0	15:12:43+00:00	2024-06-19	A	3	04,02,17,19	4	4.2	4.09	0.97			
81	15:12:45+00:00	61.1 M	1	0	0	15:12:44+00:00	2024-06-19	A	3	04,02,17,19	4	4.2	4.09	0.97			
82	15:12:46+00:00	61.1 M	1	0.001	0	15:12:45+00:00	2024-06-19	A	3	04,02,17,19	4	4.2	4.09	0.97			
83	15:12:47+00:00	61.1 M	1	0	0	15:12:46+00:00	2024-06-19	A	3	04,02,17,19	4	4.2	4.09	0.97			
84	15:12:48+00:00	61.1 M	1	0	0	15:12:47+00:00	2024-06-19	A	3	04,02,17,19	4	4.2	4.09	0.97			
85	15:12:49+00:00	61.6 M	1	0	0	15:12:48+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.16	1.93	0.96			
86	15:12:50+00:00	61.9 M	1	0	0	15:12:49+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.16	1.93	0.96			
87	15:12:51+00:00	62.0 M	1	0	0	15:12:50+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.16	1.93	0.96			
88	15:12:52+00:00	62.0 M	1	0	0	15:12:51+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.16	1.93	0.96			
89	15:12:53+00:00	62.1 M	1	0.001	0	15:12:52+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.16	1.93	0.96			
90	15:12:54+00:00	62.1 M	1	0.001	0	15:12:53+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.16	1.93	0.96			
91	15:12:55+00:00	62.2 M	1	0	0	15:12:54+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.16	1.93	0.96			
92	15:12:56+00:00	62.3 M	1	0	0	15:12:55+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.16	1.93	0.96			
93	15:12:57+00:00	62.4 M	1	0.001	0	15:12:56+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.16	1.93	0.96			
94	15:12:58+00:00	62.7 M	1	0	0	15:12:57+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.16	1.93	0.96			
95	15:12:59+00:00	62.8 M	1	0.002	0	15:12:58+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.16	1.93	0.96			
96	15:13:00+00:00	62.8 M	1	0	0	15:12:59+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.16	1.93	0.96			
97	15:13:01+00:00	62.9 M	1	0	0	15:13:00+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.16	1.93	0.96			
98	15:13:02+00:00	62.9 M	1	0	0	15:13:01+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.16	1.93	0.96			
99	15:13:03+00:00	63.0 M	1	0	0	15:13:02+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.16	1.93	0.96			
100	15:13:04+00:00	63.1 M	1	0	0	15:13:03+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.16	1.93	0.96			
101	15:13:05+00:00	63.1 M	1	0.001	0	15:13:04+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.16	1.93	0.96			
102	15:13:06+00:00	63.2 M	1	0	0	15:13:05+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.16	1.93	0.96			
103	15:13:07+00:00	63.4 M	1	0.001	0	15:13:06+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.16	1.93	0.96			
104	15:13:08+00:00	63.5 M	1	0.001	0	15:13:07+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.16	1.93	0.96			
105	15:13:09+00:00	63.6 M	1	0.001	0	15:13:08+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.16	1.93	0.96			
106	15:13:10+00:00	64.0 M	1	0.001	0	15:13:09+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.16	1.93	0.96			
107	15:13:11+00:00	64.1 M	1	0.001	0	15:13:10+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.16	1.93	0.96			
108	15:13:12+00:00	64.2 M	1	0.001	0	15:13:11+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.16	1.93	0.96			
109	15:13:13+00:00	64.4 M	1	0.001	0	15:13:12+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.93	0.96			
110	15:13:14+00:00	64.5 M	1	0.001	0	15:13:13+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.93	0.96			
111	15:13:15+00:00	64.6 M	1	0	0	15:13:14+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.93	0.96			
112	15:13:16+00:00	64.6 M	1	0.001	0	15:13:15+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.93	0.96			
113	15:13:17+00:00	64.8 M	1	0.001	0	15:13:16+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.93	0.96			
114	15:13:18+00:00	65.0 M	1	0.001	0	15:13:17+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.93	0.96			
115	15:13:19+00:00	65.2 M	1	0	0	15:13:18+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.93	0.96			
116	15:13:20+00:00	65.9 M	1	0	0	15:13:19+00:00	2024-06-19	A	3	03,04,02,17,19	5	4.23	2.62	3.32			
117	15:13:21+00:00	66.0 M	1	0	0	15:13:20+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.93	0.96			
118	15:13:22+00:00	66.1 M	1	0.001	0	15:13:21+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.93	0.96			
119	15:13:23+00:00	66.3 M	1	0	0	15:13:22+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.93	0.96			
120	15:13:24+00:00	66.3 M	1	0.001	0	15:13:23+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.93	0.96			
121	15:13:25+00:00	66.5 M	1	0.001	0	15:13:24+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.93	0.96			
122	15:13:26+00:00	66.6 M	1	0.001	0	15:13:25+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.93	0.96			
123	15:13:27+00:00	66.6 M	1	0.001	0	15:13:26+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.93	0.96			
124	15:13:28+00:00	66.7 M	1	0.001	0	15:13:27+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.93	0.96			
125	15:13:29+00:00	66.7 M	1	0	0	15:13:28+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.93	0.96			
126	15:13:30+00:00	66.9 M	1	0	0	15:13:29+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.93	0.96			
127	15:13:31+00:00	67.1 M	1	0.001	0	15:13:30+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.93	0.96			
128	15:13:32+00:00	67.2 M	1	0	0	15:13:31+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.93	0.96			
129	15:13:33+00:00	67.3 M	1	0	0	15:13:32+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.93	0.96			
130	15:13:34+00:00	67.4 M	1	0	0	15:13:33+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.93	0.96			
131	15:13:35+00:00	67.5 M	1	0	0	15:13:34+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.93	0.96			
132	15:13:36+00:00	67.6 M	1	0	0	15:13:35+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.93	0.96			
133	15:13:37+00:00	67.7 M	1	0.001	0	15:13:36+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.93	0.96			
134	15:13:38+00:00	67.8 M	1	0	0	15:13:37+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.93	0.96			
135	15:13:39+00:00	67.9 M	1	0.001	0	15:13:38+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.93	0.96			
136	15:13:40+00:00	68.0 M	1	0.001	0	15:13:39+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.93	0.96			
137	15:13:41+00:00	68.1 M	1	0.001	0	15:13:40+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.93	0.96			
138	15:13:42+00:00	68.2 M	1	0	0	15:13:41+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.93	0.96			
139	15:13:43+00:00	68.3 M	1	0	0	15:13:42+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.92	0.96			
140	15:13:44+00:00	68.4 M	1	0.001	0	15:13:43+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.92	0.96			
141	15:13:45+00:00	68.5 M	1	0	0	15:13:44+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.92	0.96			
142	15:13:46+00:00	68.6 M	1	0	0	15:13:45+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.92	0.96			
143	15:13:47+00:00	68.7 M	1	0	0	15:13:46+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.92	0.96			
144	15:13:48+00:00	68.7 M	1	0	0	15:13:47+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.92	0.96			
145	15:13:49+00:00	68.8 M	1	0	0	15:13:48+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.92	0.96			
146	15:13:50+00:00	68.9 M	1	0	0	15:13:49+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.92	0.96			
147	15:13:51+00:00	69.0 M	1	0.001	0	15:13:50+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.92	0.96			
148	15:13:52+00:00	69.0 M	1	0	0	15:13:51+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.92	0.96			
149	15:13:53+00:00	69.0 M	1	0	0	15:13:52+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.92	0.96			
150	15:13:54+00:00	69.1 M	1	0	0	15:13:53+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.92	0.96			
151	15:13:55+00:00	69.1 M	1	0	0	15:13:54+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.92	0.96			
152	15:13:56+00:00	69.1 M	1	0	0	15:13:55+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.92	0.96			
153	15:13:57+00:00	69.2 M	1	0	0	15:13:56+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.92	0.96			
154	15:13:58+00:00	69.1 M	1	0	0	15:13:57+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.92	0.96			
155	15:13:59+00:00	69.2 M	1	0.001	0	15:13:58+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.92	0.96			
156	15:14:00+00:00	69.2 M	1	0	0	15:13:59+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.92	0.96			
157	15:14:01+00:00	69.2 M	1	0.001	0	15:14:00+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.92	0.96			
158	15:14:02+00:00	69.3 M	1	0	0	15:14:01+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.92	0.96			
159	15:14:03+00:00	69.3 M	1	0.001	0	15:14:02+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.92	0.96			
160	15:14:04+00:00	69.3 M	1	0.001	0	15:14:03+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.92	0.96			
161	15:14:05+00:00	69.4 M	1	0.001	0	15:14:04+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.92	0.96			
162	15:14:06+00:00	69.4 M	1	0	0	15:14:05+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.92	0.96			
163	15:14:07+00:00	69.5 M	1	0	0	15:14:06+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.92	0.96			
164	15:14:08+00:00	69.5 M	1	0	0	15:14:07+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.92	0.96			
165	15:14:09+00:00	69.6 M	1	0	0	15:14:08+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.92	0.96			
166	15:14:10+00:00	69.6 M	1	0	0	15:14:09+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.92	0.96			
167	15:14:11+00:00	69.6 M	1	0	0	15:14:10+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.92	0.96			
168	15:14:12+00:00	69.6 M	1	0	0	15:14:11+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.92	0.96			
169	15:14:13+00:00	69.6 M	1	0.001	0	15:14:12+00:00	2024-06-19	A	3	03,04,02,17,19	5	2.15	1.92	0.96			
